Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
gilbert_meta_29,Children's language in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/19PPE7,"Banerji, R., Berry, J., & Shotland, M. (2017). The impact of maternal literacy and participation programs: Evidence from a randomized evaluation in India. American Economic Journal: Applied Economics, 9(4), 303-337.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_30,Children's math in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/19PPE7,"Banerji, R., Berry, J., & Shotland, M. (2017). The impact of maternal literacy and participation programs: Evidence from a randomized evaluation in India. American Economic Journal: Applied Economics, 9(4), 303-337.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Educational Ability,Unknown,Children,Mathematics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_31,Academic achievement in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IS7YLY,"Duflo, E., Berry, J., Mukerji, S., & Shotland, M. (2015). A wide angle view of learning: Evaluation of the CCE and LEP programmes in Haryana, India. 3ie Impact Evaluation Report, 22.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,Data modified for inclusion in IRW. License available here. https://creativecommons.org/licenses/by-nc-sa/4.0/,josh,9-12-2024,Academic Achievement,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_32,Math in an RCT,https://data.mendeley.com/datasets/vmf6fbfm2n/1,"Maruyama, T. (2022). Strengthening Support of Teachers for Students to Improve Learning Outcomes in Mathematics: Empirical Evidence on a Structured Pedagogy Program in El Salvador. International Journal of Educational Research, 115, 101977.",CC BY NC 3.0,Public,CC BY NC 3.0,,josh,9-12-2024,Mathematics Learning Outcomes,Unknown,Lower secondary level students in El Salvador,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,El Salvador
gilbert_meta_33,Social trust in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L3TSNX,"Aladysheva, A., Asylbek Kyzy, G., Brück, T., Esenaliev, D., Karabaeva, J., Leung, W., & Nillesen, E. (2019). Impact evaluation of the Livingsidebyside peacebuilding educational programme in Kyrgyzstan. Grantee Final Report.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,Data modified for inclusion in IRW. License available here. https://creativecommons.org/licenses/by-nc-sa/4.0/,josh,9-12-2024,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_34,Depression in an RCT,https://www.openicpsr.org/openicpsr/project/191402/version/V1/view;jsessionid=6E50DB4C0401D1864B919C722E0B530E,https://www.aeaweb.org/articles?id=10.1257/aer.20210687,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Depression,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_35,Democratic values in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UMRAM7,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-deliberative-education-increase-civic-competence-results-from-a-field-experiment/D5775D901B2B5C9EF3CC3CC6973D7E7A,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Democratic values,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_36,Political knowledge in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UMRAM7,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-deliberative-education-increase-civic-competence-results-from-a-field-experiment/D5775D901B2B5C9EF3CC3CC6973D7E7A,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Political Knowledge,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_37,Health knowledge in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EJ03JR,https://www.tandfonline.com/doi/full/10.1080/00220388.2024.2312832,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_38,Health behavior in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EJ03JR,https://www.tandfonline.com/doi/full/10.1080/00220388.2024.2312832,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_39,Cognitive test in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FXL7JW,https://www.sciencedirect.com/science/article/abs/pii/S0304387822000566,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_40,Computation in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FXL7JW,https://www.sciencedirect.com/science/article/abs/pii/S0304387822000566,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_41,Oral reading fluency in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RSUADW,https://www.tandfonline.com/doi/full/10.1080/19345747.2023.2279123,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_42,Mental health in an RCT,https://www.openicpsr.org/openicpsr/project/174781/version/V1/view?path=/openicpsr/174781/fcr:versions/V1&type=project,https://www.aeaweb.org/articles?id=10.1257/aer.20211616,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Special Populations,Psychosocial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_43,Cognitive testing in an RCT,https://www.openicpsr.org/openicpsr/project/174781/version/V1/view?path=/openicpsr/174781/fcr:versions/V1&type=project,https://www.aeaweb.org/articles?id=10.1257/aer.20211616,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Cognitive Skills,Unknown,Special Populations,Unknown,Unknown,Unknown,Test-based,Unknown,Unknown,Unknown
gilbert_meta_44,Mental health in an RCT,https://researchdata.cuhk.edu.hk/dataset.xhtml?persistentId=doi:10.48668/14WHSL,https://onlinelibrary.wiley.com/doi/abs/10.1002/gps.5616,CC BY-NC 4.0,Public,CC BY-NC 4.0,,josh,9-12-2024,Mental Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_45,Burnout and depression in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DIU6BU,https://pubmed.ncbi.nlm.nih.gov/33308290/,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Burnout and depression,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_46,Language in an RCT,https://osf.io/4p8hz/?view_only=,https://peerj.com/articles/15499/,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_47,Math in an RCT,https://osf.io/4p8hz/?view_only=,https://peerj.com/articles/15499/,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_48,Child Development (ASQ-3) in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3SF36J,https://www.tandfonline.com/doi/full/10.1080/02568543.2023.2281563,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Child Development,Unknown,Children,Developmental Milestones,Unknown,Unknown,Unknown,Randomized Controlled Trial (RCT),Unknown,Unknown
gilbert_meta_49,Psychological Distress (SRQ-20) in an RCT,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/F8SJBV,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-017-2299-3,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Dichotomous,Unknown,Psychological Distress,Unknown,Unknown,Unknown,RCT (Randomized Controlled Trial),SRQ-20,Unknown
gilbert_meta_50,Parenting beliefs in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XBGUUL,https://doi.org/10.1016/j.socscimed.2019.112545,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_51,Feeding practices in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XBGUUL,https://doi.org/10.1016/j.socscimed.2019.112545,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_52,COVID symptons in an RCT,https://zenodo.org/records/5703876,https://doi.org/10.1126/science.abi9069,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Dichotomous,Unknown,Symptoms of COVID-19,Unknown,Unknown,Unknown,Health Intervention Study,Unknown,Bangladesh
gilbert_meta_53,Women's empowerment in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/0TS1LX,https://link.springer.com/article/10.1186/s12978-023-01665-1,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Women's empowerment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_54,Consent in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/0TS1LX,https://link.springer.com/article/10.1186/s12978-023-01665-1,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_55,Academic achievement in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GB61G4,https://www.econstor.eu/bitstream/10419/272547/1/dp15920.pdf,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Academic Achievement,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_56,Literacy in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSRO4X,https://riseprogramme.org/sites/default/files/inline-files/Rudasingwa_Improving_Reading_Proficiency_ECE_Liberia.pdf,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Literacy,Unknown,Unknown,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_57,Depression (PHQ-9) in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IJE2PC,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(20)30258-3/abstract,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_58,Depression (SCID) in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IJE2PC,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(20)30258-3/abstract,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_59,Stress (PSS) in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IJE2PC,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(20)30258-3/abstract,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Stress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_60,Pro-government attitudes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AQHPTT,https://doi.org/10.1017/S0003055419000698,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Political Attitudes,Unknown,Unknown,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_61,Attitudes about violence in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AQHPTT,https://doi.org/10.1017/S0003055419000698,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Attitudes about violence,Unknown,Unknown,Social Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_62,Depression in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SLUA08,https://doi.org/10.1016/j.socscimed.2024.116993,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Unknown,Unknown,Depression,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_63,Indebtedness in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6PAHVM,https://www.3ieimpact.org/sites/default/files/2019-01/IE71-Bihar-livelihoods.pdf,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_64,Socioemotional learning in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YTLX91,https://sesameworkshop.org/wp-content/uploads/2023/05/SW23_ISI_NYU_Mass_Media_Brief-051523.pdf,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Socioemotional Learning,Unknown,Unknown,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_65,Mental health literacy in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Community Sport Leaders,Mental Health Literacy,Unknown,Unknown,Paper Data Set,Community Sport Leaders Training,Unknown,Unknown
gilbert_meta_66,General Help Seeking Questionnaire (GHSQ) in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Community Sport Leaders,Mental Health Literacy,Unknown,Unknown,Unknown,RCT (Randomized Controlled Trial),General Help Seeking Questionnaire (GHSQ),Unknown
gilbert_meta_67,Mental Health Stigma in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Community Sport Leaders,Mental Health Literacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_68,Hindi outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_69,Math outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Math Outcomes,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_70,Hindi outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_71,Math outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Math Outcomes,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_72,Hindi outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_73,Math outcomes in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DUBA3J,https://www.aeaweb.org/articles?id=10.1257/jep.31.4.73,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Math outcomes,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BPAQ_Christopher_2024_BPAQSF,Buss–Perry Aggression Questionnaire amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",,,,,,,Personality Traits,Unknown,Police Officers,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BPAQ_Christopher_2024_FFMQSF,Five Facet Mindfulness Questionnaire amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",,,,,,,Health/Well-being,Unknown,Police Officers,Mindfulness,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
